,user_id,recency,frequency,monetary,recency_segment,frequency_segment,monetary_segment,RFM_Score
119,119,31,7353,7353,3,3,3,333
120,120,65,10297,10297,3,3,3,333
121,121,39,6000,6000,3,3,3,333
122,122,24,7218,7218,4,3,3,433
123,123,31,5103,5103,3,3,3,333
124,124,65,5240,5240,3,3,3,333
125,125,40,7833,7833,3,3,3,333
126,126,403,2279,2279,1,2,2,122
127,127,113,3993,3993,2,3,3,233
128,128,122,7052,7052,1,3,3,133
129,129,106,5258,5258,2,3,3,233
130,130,87,5769,5769,2,3,3,233
131,131,74,5846,5846,2,3,3,233
132,132,40,6346,6346,3,3,3,333
133,133,51,5511,5511,3,3,3,333
134,134,50,5100,5100,3,3,3,333
135,135,100,2916,2916,2,2,2,222
136,136,59,2194,2194,3,2,2,322
137,137,67,3769,3769,3,2,2,322
138,138,66,4373,4373,3,3,3,333
139,139,24,4952,4952,4,3,3,433
140,140,121,3106,3106,1,2,2,122
141,141,170,3566,3566,1,2,2,122
142,142,30,5396,5396,3,3,3,333
143,143,52,5171,5171,3,3,3,333
144,144,45,3928,3928,3,2,2,322
145,145,120,6047,6047,1,3,3,133
146,146,198,3522,3522,1,2,2,122
147,147,207,4425,4425,1,3,3,133
148,148,24,6566,6566,4,3,3,433
149,149,58,3097,3097,3,2,2,322
150,150,58,4643,4643,3,3,3,333
151,151,51,4351,4351,3,3,3,333
152,152,170,2458,2458,1,2,2,122
153,153,72,4449,4449,3,3,3,333
154,154,156,2793,2793,1,2,2,122
155,155,149,2955,2955,1,2,2,122
156,156,79,4293,4293,2,3,3,233
157,157,122,2640,2640,1,2,2,122
158,158,39,3627,3627,3,2,2,322
159,159,181,2820,2820,1,2,2,122
160,160,93,2124,2124,2,2,2,222
161,161,88,3866,3866,2,2,2,222
162,162,157,2495,2495,1,2,2,122
163,163,120,1865,1865,1,1,1,111
164,164,24,6951,6951,4,3,3,433
165,165,66,3039,3039,3,2,2,322
166,166,128,2820,2820,1,2,2,122
167,167,24,4448,4448,4,3,3,433
168,168,112,5398,5398,2,3,3,233
169,169,108,2553,2553,2,2,2,222
170,170,170,3175,3175,1,2,2,122
171,171,101,3929,3929,2,2,2,222
172,172,114,2268,2268,2,2,2,222
173,173,115,3815,3815,2,2,2,222
174,174,80,3659,3659,2,2,2,222
175,175,45,4537,4537,3,3,3,333
176,176,191,2525,2525,1,2,2,122
177,177,107,5295,5295,2,3,3,233
178,178,142,3217,3217,1,2,2,122
179,179,45,3454,3454,3,2,2,322
180,180,51,5525,5525,3,3,3,333
181,181,120,4083,4083,1,3,3,133
182,182,72,2285,2285,3,2,2,322
183,183,52,4658,4658,3,3,3,333
184,184,122,3853,3853,1,2,2,122
185,185,192,2733,2733,1,2,2,122
186,186,39,5112,5112,3,3,3,333
187,187,120,4203,4203,1,3,3,133
188,188,107,2595,2595,2,2,2,222
189,189,101,1944,1944,2,2,2,222
190,190,181,1510,1510,1,1,1,111
191,191,72,6443,6443,3,3,3,333
192,192,80,1513,1513,2,1,1,211
193,193,79,2369,2369,2,2,2,222
194,194,107,2399,2399,2,2,2,222
195,195,51,5918,5918,3,3,3,333
196,196,192,2854,2854,1,2,2,122
197,197,66,3873,3873,3,2,2,322
198,198,87,2351,2351,2,2,2,222
199,199,157,2832,2832,1,2,2,122
200,200,79,1034,1034,2,1,1,211
201,201,296,1322,1322,1,1,1,111
202,202,80,1712,1712,2,1,1,211
203,203,79,3622,3622,2,2,2,222
204,204,73,3295,3295,2,2,2,222
205,205,122,2182,2182,1,2,2,122
206,206,93,2593,2593,2,2,2,222
207,207,240,1122,1122,1,1,1,111
208,208,93,3521,3521,2,2,2,222
209,209,120,2001,2001,1,2,2,122
210,210,563,449,449,1,1,1,111
211,212,296,956,956,1,1,1,111
212,213,79,3583,3583,2,2,2,222
213,214,143,1894,1894,1,2,2,122
214,215,107,1453,1453,2,1,1,211
215,216,52,969,969,3,1,1,311
216,217,94,3233,3233,2,2,2,222
217,218,79,3211,3211,2,2,2,222
218,219,121,3076,3076,1,2,2,122
219,220,115,1756,1756,2,1,1,211
220,221,241,2459,2459,1,2,2,122
221,222,93,3610,3610,2,2,2,222
222,223,218,1555,1555,1,1,1,111
223,224,39,832,832,3,1,1,311
224,225,107,3172,3172,2,2,2,222
225,226,121,3979,3979,1,3,3,133
226,227,52,3960,3960,3,2,2,322
227,228,101,3137,3137,2,2,2,222
228,229,240,2094,2094,1,2,2,122
229,230,93,1631,1631,2,1,1,211
230,231,156,522,522,1,1,1,111
231,232,108,3391,3391,2,2,2,222
232,233,39,3443,3443,3,2,2,322
233,234,535,475,475,1,1,1,111
234,235,72,3343,3343,3,2,2,322
235,236,72,3939,3939,3,2,2,322
236,237,122,3335,3335,1,2,2,122
237,238,114,4586,4586,2,3,3,233
238,239,206,593,593,1,1,1,111
239,240,39,5813,5813,3,3,3,333
240,241,241,541,541,1,1,1,111
241,242,136,1493,1493,1,1,1,111
242,243,72,2318,2318,3,2,2,322
243,244,199,1200,1200,1,1,1,111
244,245,163,1047,1047,1,1,1,111
245,246,143,1064,1064,1,1,1,111
246,247,114,1394,1394,2,1,1,211
247,248,66,2708,2708,3,2,2,322
248,249,79,1074,1074,2,1,1,211
249,250,100,2694,2694,2,2,2,222
250,251,80,2135,2135,2,2,2,222
251,253,101,1813,1813,2,1,1,211
252,254,100,4133,4133,2,3,3,233
253,255,198,1184,1184,1,1,1,111
254,256,94,3019,3019,2,2,2,222
255,257,66,2492,2492,3,2,2,322
256,258,52,2335,2335,3,2,2,322
257,259,213,1215,1215,1,1,1,111
258,260,51,2988,2988,3,2,2,322
259,261,220,504,504,1,1,1,111
260,262,51,2445,2445,3,2,2,322
261,263,121,1114,1114,1,1,1,111
262,264,66,2198,2198,3,2,2,322
263,265,100,2503,2503,2,2,2,222
264,266,100,2455,2455,2,2,2,222
265,267,73,3262,3262,2,2,2,222
266,268,52,1780,1780,3,1,1,311
267,269,87,1798,1798,2,1,1,211
268,270,219,498,498,1,1,1,111
269,271,94,727,727,2,1,1,211
270,272,218,1056,1056,1,1,1,111
271,273,73,1421,1421,2,1,1,211
272,274,220,1191,1191,1,1,1,111
273,275,94,3128,3128,2,2,2,222
274,276,212,1326,1326,1,1,1,111
275,278,255,609,609,1,1,1,111
276,279,87,2528,2528,2,2,2,222
277,280,52,627,627,3,1,1,311
278,281,247,653,653,1,1,1,111
279,282,261,628,628,1,1,1,111
280,283,275,561,561,1,1,1,111
281,284,114,696,696,2,1,1,211
282,286,261,1953,1953,1,2,2,122
283,287,108,1347,1347,2,1,1,211
284,288,262,660,660,1,1,1,111
285,289,136,644,644,1,1,1,111
286,290,219,535,535,1,1,1,111
287,291,255,1297,1297,1,1,1,111
288,292,51,654,654,3,1,1,311
289,293,199,1276,1276,1,1,1,111
290,294,80,637,637,2,1,1,211
291,295,108,1885,1885,2,1,1,211
292,297,213,702,702,1,1,1,111
293,298,261,681,681,1,1,1,111
294,299,269,567,567,1,1,1,111
295,301,219,570,570,1,1,1,111
296,302,94,750,750,2,1,1,211
297,304,51,724,724,3,1,1,311
298,307,101,1314,1314,2,1,1,211
299,308,73,1389,1389,2,1,1,211
300,310,66,2181,2181,3,2,2,322
301,311,262,658,658,1,1,1,111
302,312,108,654,654,2,1,1,211
303,317,87,1206,1206,2,1,1,211
304,320,269,590,590,1,1,1,111
305,321,269,626,626,1,1,1,111
306,325,66,2156,2156,3,2,2,322
307,326,269,578,578,1,1,1,111
308,327,108,704,704,2,1,1,211
309,331,227,642,642,1,1,1,111
310,332,227,704,704,1,1,1,111
311,335,73,711,711,2,1,1,211
312,347,73,731,731,2,1,1,211
313,350,108,783,783,2,1,1,211
314,352,290,690,690,1,1,1,111
315,354,269,615,615,1,1,1,111
316,355,269,643,643,1,1,1,111
317,356,227,672,672,1,1,1,111
318,357,290,679,679,1,1,1,111
319,361,227,730,730,1,1,1,111
320,362,87,743,743,2,1,1,211
321,367,290,685,685,1,1,1,111
